Campo_Tec;Area_Tec;Ano;Depósitos
Análise de material biológico;Instrumentos;2000;9
Semicondutores;Engenharia elétrica;2000;6
Métodos de gestão em TI;Engenharia elétrica;2000;
Microestruturas e nanotecnologia;Química;2000;
Mobiliário - jogos;Outras áreas;2001;707
Engenharia civil;Outras áreas;2001;615
Manejo;Engenharia mecânica;2001;568
Outros bens de consumo;Outras áreas;2001;541
Transporte;Engenharia mecânica;2001;493
Outras maquinas especiais;Engenharia mecânica;2001;468
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2001;342
Tecnologia aplicada a medicina;Instrumentos;2001;302
Elementos mecânicos;Engenharia mecânica;2001;274
Aparelhos e processos térmicos;Engenharia mecânica;2001;264
Motores - bombas - turbinas;Engenharia mecânica;2001;188
Tecnologia audiovisual;Engenharia elétrica;2001;180
Medição;Instrumentos;2001;174
Engenharia química;Química;2001;167
Controle;Instrumentos;2001;167
Máquinas ferramentas;Engenharia mecânica;2001;165
Máquinas têxteis e de papel;Engenharia mecânica;2001;123
Tecnologia aplicada ao meio ambiente;Química;2001;115
Produtos farmacêuticos;Química;2001;110
Telecomunicações;Engenharia elétrica;2001;99
Química de materiais básicos;Química;2001;92
Química de alimentos;Química;2001;87
Materiais - metalurgia;Química;2001;86
Tecnologia da computação;Engenharia elétrica;2001;58
Tecnologia de superfícies e revestimentos;Química;2001;48
Ótica;Instrumentos;2001;44
Química orgânica fina;Química;2001;22
Biotecnologia;Química;2001;20
Química macromolecular e polímeros;Química;2001;18
Análise de material biológico;Instrumentos;2001;13
Processos básicos de comunicação;Engenharia elétrica;2001;13
Comunicação digital;Engenharia elétrica;2001;9
Semicondutores;Engenharia elétrica;2001;1
Métodos de gestão em TI;Engenharia elétrica;2001;
Microestruturas e nanotecnologia;Química;2001;
Mobiliário - jogos;Outras áreas;2002;740
Manejo;Engenharia mecânica;2002;615
Engenharia civil;Outras áreas;2002;579
Outras maquinas especiais;Engenharia mecânica;2002;516
Transporte;Engenharia mecânica;2002;506
Outros bens de consumo;Outras áreas;2002;503
Tecnologia aplicada a medicina;Instrumentos;2002;403
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2002;274
Elementos mecânicos;Engenharia mecânica;2002;268
Controle;Instrumentos;2002;193
Tecnologia audiovisual;Engenharia elétrica;2002;190
Engenharia química;Química;2002;167
Motores - bombas - turbinas;Engenharia mecânica;2002;165
