Campo_Tec;Area_Tec;Ano;Depósitos
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2008;203
Manejo;Engenharia mecânica;2008;185
Elementos mecânicos;Engenharia mecânica;2008;176
Telecomunicações;Engenharia elétrica;2008;166
Química de alimentos;Química;2008;157
Outros bens de consumo;Outras áreas;2008;141
Transporte;Engenharia mecânica;2008;139
Máquinas têxteis e de papel;Engenharia mecânica;2008;137
Materiais - metalurgia;Química;2008;121
Tecnologia de superfícies e revestimentos;Química;2008;120
Máquinas ferramentas;Engenharia mecânica;2008;117
Métodos de gestão em TI;Engenharia elétrica;2008;105
Motores - bombas - turbinas;Engenharia mecânica;2008;103
Controle;Instrumentos;2008;84
Tecnologia aplicada ao meio ambiente;Química;2008;77
Tecnologia audiovisual;Engenharia elétrica;2008;75
Mobiliário - jogos;Outras áreas;2008;71
Ótica;Instrumentos;2008;67
Análise de material biológico;Instrumentos;2008;63
Aparelhos e processos térmicos;Engenharia mecânica;2008;54
Semicondutores;Engenharia elétrica;2008;37
Processos básicos de comunicação;Engenharia elétrica;2008;19
Microestruturas e nanotecnologia;Química;2008;
Tecnologia aplicada a medicina;Instrumentos;2009;672
Química orgânica fina;Química;2009;616
Química de materiais básicos;Química;2009;500
Produtos farmacêuticos;Química;2009;451
Biotecnologia;Química;2009;449
Comunicação digital;Engenharia elétrica;2009;404
Tecnologia da computação;Engenharia elétrica;2009;367
Engenharia civil;Outras áreas;2009;359
Engenharia química;Química;2009;291
Química macromolecular e polímeros;Química;2009;281
Medição;Instrumentos;2009;259
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2009;234
Outras maquinas especiais;Engenharia mecânica;2009;228
Manejo;Engenharia mecânica;2009;217
Transporte;Engenharia mecânica;2009;215
Elementos mecânicos;Engenharia mecânica;2009;189
Motores - bombas - turbinas;Engenharia mecânica;2009;150
Química de alimentos;Química;2009;145
Máquinas ferramentas;Engenharia mecânica;2009;139
Métodos de gestão em TI;Engenharia elétrica;2009;129
Tecnologia de superfícies e revestimentos;Química;2009;122
Máquinas têxteis e de papel;Engenharia mecânica;2009;107
Materiais - metalurgia;Química;2009;106
Outros bens de consumo;Outras áreas;2009;103
Tecnologia audiovisual;Engenharia elétrica;2009;99
Telecomunicações;Engenharia elétrica;2009;98
Ótica;Instrumentos;2009;88
Mobiliário - jogos;Outras áreas;2009;79
Tecnologia aplicada ao meio ambiente;Química;2009;72
Controle;Instrumentos;2009;66
Análise de material biológico;Instrumentos;2009;64
Aparelhos e processos térmicos;Engenharia mecânica;2009;58
Semicondutores;Engenharia elétrica;2009;52
Processos básicos de comunicação;Engenharia elétrica;2009;8
Microestruturas e nanotecnologia;Química;2009;5
Tecnologia aplicada a medicina;Instrumentos;2010;674
Química de materiais básicos;Química;2010;627
Química orgânica fina;Química;2010;570
Produtos farmacêuticos;Química;2010;476
Biotecnologia;Química;2010;456
Engenharia civil;Outras áreas;2010;446
Tecnologia da computação;Engenharia elétrica;2010;384
Comunicação digital;Engenharia elétrica;2010;339
Química macromolecular e polímeros;Química;2010;306
Medição;Instrumentos;2010;289
Engenharia química;Química;2010;269
Elementos mecânicos;Engenharia mecânica;2010;248
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2010;245
Manejo;Engenharia mecânica;2010;243
Outras maquinas especiais;Engenharia mecânica;2010;223
Motores - bombas - turbinas;Engenharia mecânica;2010;185
Transporte;Engenharia mecânica;2010;180
Química de alimentos;Química;2010;165
Máquinas têxteis e de papel;Engenharia mecânica;2010;162
